Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Emit_Timestamp
2021-09-03 04:47:30,11.192.194.182,207.158.216.33,21881,5948,ICMP,333,Control,DNS,Dignissimos nesciunt perspiciatis temporibus reiciendis occaecati dolor laudantium. Labore porro quas sed sint debitis. Assumenda optio ab enim fugit consequuntur optio.,,8.07,Alert Triggered,Intrusion,Known Pattern A,Logged,Medium,Mishti Rege,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/4.0),Segment B,"Dehri, Jharkhand",121.62.214.183,Log Data,,Server,2026-03-26 15:03:51
2021-07-03 15:41:26,205.138.90.163,12.244.255.157,7041,18708,TCP,190,Data,DNS,"Illum esse sit occaecati. Cum officia nobis dolorum provident ullam.
Voluptatibus sed deserunt ut sint a maiores. Nostrum magnam sit a blanditiis quas libero.",,5.16,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Mohanlal Sagar,Opera/8.14.(X11; Linux x86_64; sv-SE) Presto/2.9.183 Version/11.00,Segment B,"Guntur, Jharkhand",98.19.167.248,,Alert Data,Server,2026-03-26 15:03:51
2021-09-17 00:12:41,25.62.47.213,216.162.75.86,20164,50499,TCP,718,Control,DNS,"Nemo cupiditate voluptatem officiis. Nisi nobis error natus repellendus eos. Ullam laboriosam doloremque id.
Aperiam eius ipsa fuga aliquid occaecati repellendus saepe. Ipsum culpa eligendi quia.",,82.51,,Malware,Known Pattern B,Logged,Low,Ishita Rana,Mozilla/5.0 (Android 4.1.1; Mobile; rv:24.0) Gecko/24.0 Firefox/24.0,Segment B,"Ramgarh, Tripura",,Log Data,,Server,2026-03-26 15:03:51
2022-05-26 15:42:27,177.127.148.44,102.18.161.188,21757,60399,UDP,1363,Control,HTTP,Fugiat cupiditate delectus sunt natus. Voluptatum odio sequi nulla esse totam ratione.,,27.23,,DDoS,Known Pattern B,Blocked,Medium,Arnav Jani,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1; rv:1.9.2.20) Gecko/2976-08-10 14:20:38 Firefox/3.6.3,Segment C,"Chandigarh, Arunachal Pradesh",75.64.152.190,,Alert Data,Firewall,2026-03-26 15:03:51
2020-02-07 05:38:21,24.49.123.170,49.214.69.205,63298,51917,TCP,840,Control,FTP,"Eligendi fugiat ullam dolorum minus excepturi repellendus. Deserunt delectus est explicabo veniam fugit.
Molestiae atque repellendus quisquam modi voluptate quos reprehenderit.",IoC Detected,73.06,,Intrusion,Known Pattern A,Ignored,High,Kismat Kaul,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/31.0.888.0 Safari/532.0",Segment C,"Panvel, Jharkhand",,Log Data,Alert Data,Server,2026-03-26 15:03:51
2022-05-04 20:47:52,160.126.30.25,222.168.253.191,23988,53713,TCP,1361,Data,HTTP,"Ut earum totam vel doloremque. Rerum corrupti debitis voluptatem impedit eius vero.
Sit provident harum odit voluptates. Veritatis autem dolorem tenetur.",IoC Detected,52.61,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Prisha Kala,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.1),Segment A,"Guna, Meghalaya",122.163.122.118,Log Data,,Firewall,2026-03-26 15:03:52
2023-06-20 12:19:05,136.12.139.101,141.36.213.59,36698,35680,UDP,729,Control,DNS,Facilis velit ducimus iusto ab inventore. Quidem nulla accusantium debitis nam. Perferendis fugiat neque nemo.,,1.95,Alert Triggered,Malware,Known Pattern B,Blocked,High,Advika Kadakia,Mozilla/5.0 (Android 5.0; Mobile; rv:24.0) Gecko/24.0 Firefox/24.0,Segment C,"Ichalkaranji, Meghalaya",99.121.182.217,Log Data,Alert Data,Firewall,2026-03-26 15:03:52
2022-01-27 03:01:55,140.210.140.247,152.121.81.11,15227,48728,ICMP,895,Control,DNS,"Quis earum corporis amet soluta nihil sapiente nesciunt. Dolorem totam nulla aliquam consequatur. Accusamus quae minima officiis sed.
Ea laborum consectetur quas.",,33.2,Alert Triggered,Malware,Known Pattern B,Ignored,Medium,Hazel Vaidya,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/5.1),Segment B,"Raurkela Industrial Township, Jharkhand",185.53.173.44,,,Firewall,2026-03-26 15:03:52
2020-10-23 00:51:25,180.116.219.120,68.18.51.18,41963,38753,ICMP,200,Data,DNS,Nesciunt nostrum quos error veniam. Nobis soluta laboriosam amet. Repellat eius libero recusandae omnis magni.,,61.96,Alert Triggered,Intrusion,Known Pattern A,Logged,Medium,Arnav Talwar,Opera/8.35.(X11; Linux i686; ps-AF) Presto/2.9.162 Version/12.00,Segment A,"Kadapa, Haryana",,Log Data,,Server,2026-03-26 15:03:52
2020-12-28 02:39:23,133.190.61.60,110.186.26.227,43602,49582,TCP,520,Control,HTTP,Occaecati ratione temporibus ab reiciendis accusantium. Saepe ad cum. Eum accusantium voluptate maiores nisi voluptatum. Accusamus ex doloremque quae eum fugiat soluta.,,12.32,,Malware,Known Pattern B,Ignored,Medium,Renee Jayaraman,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/5.0),Segment B,"Hindupur, Arunachal Pradesh",151.118.78.78,Log Data,,Server,2026-03-26 15:03:52
